Endpoint                                      Methods            Rule                                                                                                                                        
restx_doc.static                              GET                /swaggerui/<path:filename>                                                                                                                  
root                                          GET                /api/v1                                                                                                                                     
specs                                         GET                /api/v1/swagger.json                                                                                                                        
static                                        GET                /static/<path:filename>                                                                                                                     
tags.add_tag                                  POST               /api/v1/manager/<string:team_id>/tag/add                                                                                                    
tags.delete_tag                               DELETE             /api/v1/manager/<string:team_id>/tag/<string:tag_id>/delete                                                                                 
tags.get_tag                                  GET                /api/v1/manager/<string:team_id>/tag/<string:tag_id>                                                                                        
tags.tags                                     GET                /api/v1/manager/<string:team_id>/tags                                                                                                       
tags.update_tag                               PUT                /api/v1/manager/<string:team_id>/tag/<string:tag_id>/update                                                                                 
team.create_team                              POST               /api/v1/team/create                                                                                                                         
team.delete_team                              DELETE             /api/v1/team/delete/<uuid:team_id>                                                                                                          
team.get_team                                 GET                /api/v1/team/<uuid:team_id>                                                                                                                 
team.get_teams                                GET                /api/v1/team/all                                                                                                                            
team.team_member_create                       POST               /api/v1/team/<uuid:team_id>/members                                                                                                         
team.team_member_delete                       DELETE, PUT        /api/v1/team/members/<uuid:team_member_id>                                                                                                  
team.team_member_get                          GET                /api/v1/team/<uuid:team_id>/member                                                                                                          
team.update_team                              PUT                /api/v1/team/update/<team_name>                                                                                                             
